month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease
2012-01,KALLANG/WHAMPOA,3 ROOM,3,BEACH RD,07 TO 09,68.0,Improved,1979,393000.0,51 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,73,GEYLANG BAHRU,10 TO 12,59.0,Improved,1974,310000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,57,GEYLANG BAHRU,16 TO 18,65.0,Improved,1974,350000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,63,KALLANG BAHRU,10 TO 12,65.0,Improved,1974,345000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,63,KALLANG BAHRU,04 TO 06,65.0,Improved,1974,315000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,63,KALLANG BAHRU,01 TO 03,65.0,Improved,1974,311777.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,65,KALLANG BAHRU,07 TO 09,65.0,Improved,1981,350000.0,53 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,65,KALLANG BAHRU,10 TO 12,65.0,Improved,1981,340000.0,53 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,77,LOR LIMAU,13 TO 15,59.0,Improved,1973,316000.0,45 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,11,UPP BOON KENG RD,04 TO 06,65.0,Improved,1974,375000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,82,WHAMPOA DR,04 TO 06,66.0,Improved,1974,300000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,98,WHAMPOA DR,07 TO 09,65.0,Improved,1974,318000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,98,WHAMPOA DR,16 TO 18,65.0,Improved,1974,328800.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,34,WHAMPOA WEST,10 TO 12,68.0,Improved,1972,401000.0,44 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,107,TOWNER RD,04 TO 06,74.0,Model A,1983,425000.0,55 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,50,DORSET RD,01 TO 03,68.0,New Generation,1979,370000.0,51 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,10,GLOUCESTER RD,07 TO 09,67.0,New Generation,1976,390000.0,48 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,5,ST. GEORGE'S LANE,10 TO 12,68.0,New Generation,1981,341000.0,53 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,8,ST. GEORGE'S LANE,07 TO 09,68.0,New Generation,1982,380000.0,54 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,28,JLN BAHAGIA,07 TO 09,56.0,Standard,1971,293000.0,43 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,4,JLN BATU,01 TO 03,60.0,Standard,1969,305000.0,41 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,2,JLN BATU,01 TO 03,60.0,Standard,1969,338000.0,41 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,57,JLN MA'MOR,01 TO 03,128.0,Terrace,1972,830888.0,44 years 6 months
2012-01,KALLANG/WHAMPOA,3 ROOM,59,JLN MA'MOR,01 TO 03,79.0,Terrace,1972,705000.0,44 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,1,ST. GEORGE'S RD,10 TO 12,82.0,Improved,1976,430000.0,48 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,96,WHAMPOA DR,10 TO 12,91.0,Improved,1974,460000.0,46 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,59A,GEYLANG BAHRU,16 TO 18,100.0,Model A,1998,565000.0,70 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,108C,MCNAIR RD,07 TO 09,86.0,Model A,2005,585000.0,77 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,105,TOWNER RD,10 TO 12,106.0,Model A,1984,620000.0,56 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,13,UPP BOON KENG RD,07 TO 09,101.0,Model A,1999,540000.0,71 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,2A,UPP BOON KENG RD,04 TO 06,85.0,Model A,2006,626000.0,78 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,94,GEYLANG BAHRU,13 TO 15,92.0,New Generation,1979,442000.0,51 years 6 months
2012-01,KALLANG/WHAMPOA,4 ROOM,123,MCNAIR RD,10 TO 12,83.0,Simplified,1987,490000.0,59 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,40,CAMBRIDGE RD,04 TO 06,120.0,Improved,1997,660000.0,69 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,17,JLN TENTERAM,19 TO 21,105.0,Improved,2001,618000.0,73 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,16,JLN TENTERAM,10 TO 12,105.0,Improved,2002,595000.0,74 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,104,JLN RAJAH,22 TO 24,135.0,Model A,1984,710000.0,56 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,114,WHAMPOA RD,07 TO 09,131.0,Model A,1995,648888.0,67 years 6 months
2012-01,KALLANG/WHAMPOA,5 ROOM,461,CRAWFORD LANE,16 TO 18,122.0,Standard,1981,695000.0,53 years 6 months
2012-01,KALLANG/WHAMPOA,EXECUTIVE,46,BENDEMEER RD,16 TO 18,146.0,Apartment,1994,860000.0,66 years 6 months
2012-01,KALLANG/WHAMPOA,EXECUTIVE,110,MCNAIR RD,04 TO 06,144.0,Maisonette,1987,720000.0,59 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,3,BEACH RD,10 TO 12,68.0,Improved,1979,345000.0,51 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,23,BENDEMEER RD,01 TO 03,68.0,Improved,1972,373000.0,44 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,462,CRAWFORD LANE,07 TO 09,60.0,Improved,1981,393000.0,53 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,57,GEYLANG BAHRU,13 TO 15,65.0,Improved,1974,345000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,64,KALLANG BAHRU,01 TO 03,65.0,Improved,1974,313000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,66,KALLANG BAHRU,04 TO 06,65.0,Improved,1974,319000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,804,KING GEORGE'S AVE,10 TO 12,68.0,Improved,1981,380000.0,53 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,76,LOR LIMAU,10 TO 12,65.0,Improved,1973,310000.0,45 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,75,WHAMPOA DR,13 TO 15,65.0,Improved,1974,319000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,93,WHAMPOA DR,01 TO 03,65.0,Improved,1974,317000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,98,WHAMPOA DR,07 TO 09,65.0,Improved,1974,325000.0,46 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,15,FARRER PK RD,16 TO 18,62.0,Model A,2004,461888.0,76 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,107,TOWNER RD,10 TO 12,74.0,Model A,1983,423000.0,55 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,107,TOWNER RD,04 TO 06,81.0,Model A,1983,425000.0,55 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,5,ST. GEORGE'S LANE,07 TO 09,68.0,New Generation,1981,381000.0,53 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,8,ST. GEORGE'S LANE,10 TO 12,68.0,New Generation,1982,380000.0,54 years 6 months
2012-02,KALLANG/WHAMPOA,3 ROOM,27,JLN BAHAGIA,01 TO 03,56.0,Standard,1970,280000.0,42 years 6 months
